name,platform,year_of_release,genre,publisher,developer,na_sales,eu_sales,jp_sales,critic_score,user_score
Wii Sports,Wii,2006.0,Sports,Nintendo,Nintendo,41.36,28.96,3.77,76.0,8
Super Mario Bros.,NES,1985.0,Platform,Nintendo,NaN,29.08,3.58,6.81,NaN,NaN
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,Nintendo,15.68,12.76,3.79,82.0,8.3
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,Nintendo,15.61,10.93,3.28,80.0,8
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,NaN,11.27,8.89,10.22,NaN,NaN
Tetris,GB,1989.0,Puzzle,Nintendo,NaN,23.2,2.26,4.22,NaN,NaN
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,Nintendo,11.28,9.14,6.5,89.0,8.5
Wii Play,Wii,2006.0,Misc,Nintendo,Nintendo,13.96,9.18,2.93,58.0,6.6
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,Nintendo,14.44,6.94,4.7,87.0,8.4
Duck Hunt,NES,1984.0,Shooter,Nintendo,NaN,26.93,0.63,0.28,NaN,NaN
Nintendogs,DS,2005.0,Simulation,Nintendo,NaN,9.05,10.95,1.93,NaN,NaN
Mario Kart DS,DS,2005.0,Racing,Nintendo,Nintendo,9.71,7.47,4.13,91.0,8.6
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,NaN,9,6.18,7.2,NaN,NaN
Wii Fit,Wii,2007.0,Sports,Nintendo,Nintendo,8.92,8.03,3.6,80.0,7.7
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,Good Science Studio,15,4.89,0.24,61.0,6.3
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,Nintendo,9.01,8.49,2.53,80.0,7.4
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,Rockstar North,7.02,9.09,0.98,97.0,8.2
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,Rockstar North,9.43,0.4,0.41,95.0,9
Super Mario World,SNES,1990.0,Platform,Nintendo,NaN,12.78,3.75,3.54,NaN,NaN
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,Nintendo,4.74,9.2,4.16,77.0,7.9
Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,NaN,6.38,4.46,6.04,NaN,NaN
Super Mario Land,GB,1989.0,Platform,Nintendo,NaN,10.83,2.71,4.18,NaN,NaN
Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,NaN,9.54,3.44,3.84,NaN,NaN
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,Rockstar North,9.66,5.14,0.06,97.0,8.1
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,Rockstar North,8.41,5.49,0.47,95.0,8.7
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,NaN,6.06,3.9,5.38,NaN,NaN
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,Nintendo,3.43,5.35,5.32,77.0,7.1
Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,NaN,5.51,3.17,5.65,NaN,NaN
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,Polyphony Digital,6.85,5.09,1.87,95.0,8.4
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",9.04,4.24,0.13,88.0,3.4
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,NaN,5.89,5.04,3.12,NaN,NaN
Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,NaN,6.03,5.86,0.36,NaN,NaN
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,Treyarch,9.7,3.68,0.11,87.0,6.3
Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,NaN,5.28,4.19,4.35,NaN,NaN
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,Treyarch,4.99,5.73,0.65,83.0,5.3
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,Treyarch,8.25,4.24,0.07,83.0,4.8
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,Infinity Ward,8.52,3.59,0.08,94.0,6.3
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",5.54,5.73,0.49,88.0,3.2
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,DMA Design,6.99,4.51,0.3,97.0,8.5
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,Game Arts,6.62,2.55,2.66,93.0,8.9
Mario Kart 7,3DS,2011.0,Racing,Nintendo,"Retro Studios, Entertainment Analysis & Develo...",5.03,4.02,2.69,85.0,8.2
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,Treyarch,5.99,4.37,0.48,88.0,6.4
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,Rockstar North,3.96,6.31,0.38,97.0,8.3
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,Nintendo,2.5,3.45,5.33,86.0,8.7
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",7.97,2.81,0.13,94.0,7.8
Super Mario 64,N64,1996.0,Platform,Nintendo,NaN,6.91,2.85,1.91,NaN,NaN
Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,NaN,4.34,2.71,3.96,NaN,NaN
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,NaN,4.35,3.49,3.1,NaN,NaN
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,Polyphony Digital,3.01,0.01,1.1,89.0,8.5
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,Nintendo,6.06,3.35,1.2,97.0,8.9
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,NaN,6.16,2.04,2.69,NaN,NaN
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,Rockstar North,6.76,3.07,0.14,98.0,7.9
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,Polyphony Digital,4.02,3.87,2.54,96.0,8.7
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,Nintendo,4.89,3,2.14,90.0,8.4
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,Polyphony Digital,2.96,4.82,0.81,84.0,7.5
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,Infinity Ward,4.99,3.64,0.38,94.0,6.3
Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,NaN,5.99,2.15,2.12,NaN,NaN
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,Rockstar North,4.76,3.69,0.44,98.0,7.5
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,NaN,4.34,2.65,3.15,NaN,NaN
Super Mario 64,DS,2004.0,Platform,Nintendo,NaN,5.01,3.07,1.25,NaN,NaN
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,Infinity Ward,6.73,2.56,0.04,73.0,2.6
Just Dance 3,Wii,2011.0,Misc,Ubisoft,Ubisoft,5.95,3.11,0,74.0,7.8
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,Nintendo,3.66,3.14,2.47,78.0,7.2
Mario Kart 64,N64,1996.0,Racing,Nintendo,NaN,5.55,1.94,2.23,NaN,NaN
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,Bungie,7.04,1.95,0.08,91.0,7.9
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,SquareSoft,3.01,2.47,3.28,92.0,9.2
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,343 Industries,6.65,2.28,0.04,87.0,7
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,Polyphony Digital,3.88,3.42,1.69,93.0,9
Just Dance 2,Wii,2010.0,Misc,Ubisoft,Ubisoft,5.8,2.85,0.01,74.0,7.3
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,Infinity Ward,4.1,3.63,0.38,71.0,2.6
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,Infinity Ward,5.93,2.36,0.13,94.0,8.4
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,NaN,4.36,1.71,3,NaN,NaN
Minecraft,X360,2013.0,Misc,Microsoft Game Studios,NaN,5.7,2.65,0.02,NaN,NaN
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,Nintendo,2.03,2.36,4.39,88.0,8.7
Mario Party DS,DS,2007.0,Misc,Nintendo,Hudson Soft,4.4,1.85,1.98,72.0,7.8
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,5.05,2.79,0.1,96.0,8.4
Super Mario Kart,SNES,1992.0,Racing,Nintendo,NaN,3.54,1.24,3.81,NaN,NaN
FIFA 16,PS4,2015.0,Sports,Electronic Arts,EA Sports,1.12,6.12,0.06,82.0,4.3
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,Bungie Software,6.82,1.53,0.05,95.0,8.2
Wii Party,Wii,2010.0,Misc,Nintendo,Nd Cube,1.75,3.47,2.49,68.0,7.4
Mario Party 8,Wii,2007.0,Misc,Nintendo,Hudson,3.74,2.24,1.58,62.0,6.3
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,Electronic Arts,1.06,5.01,0.13,88.0,6.6
GoldenEye 007,N64,1997.0,Shooter,Nintendo,NaN,5.8,2.01,0.13,NaN,NaN
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,NaN,2.79,1.72,3.14,NaN,NaN
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,SquareSoft,2.91,2.07,2.73,92.0,8.7
The Sims 3,PC,2009.0,Simulation,Electronic Arts,The Sims Studio,0.99,6.42,0,86.0,7.6
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,NaN,2.57,3.86,0.66,NaN,NaN
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,NaN,2.99,3.49,0.22,NaN,NaN
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,SquareSoft,2.28,1.72,3.63,90.0,8.6
Pac-Man,2600,1982.0,Puzzle,Atari,NaN,7.28,0.45,0,NaN,NaN
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,Game Freak,2.76,1.72,2.69,83.0,8.5
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,Rockstar Leeds,2.9,2.81,0.24,88.0,7.6
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,Sledgehammer Games,2.81,3.48,0.14,83.0,5.7
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,NaN,4.1,1.89,1.45,NaN,NaN
FIFA 17,PS4,2016.0,Sports,Electronic Arts,"EA Sports, EA Vancouver",0.66,5.75,0.08,85.0,5
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,NaN,3.78,2.17,1.31,NaN,NaN
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,NaN,3.27,1.37,2.43,NaN,NaN
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,Nintendo EAD Tokyo,3.56,2.35,0.98,97.0,9.1
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,NaN,5.39,1.18,0.7,NaN,NaN
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,NaN,4.59,2.11,0.01,NaN,NaN
Call of Duty: World at War,X360,2008.0,Shooter,Activision,Treyarch,4.81,1.88,0,84.0,7.6
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,EA DICE,4.46,2.11,0.06,84.0,7.4
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,EA Black Box,3.27,2.83,0.08,85.0,8.6
Just Dance,Wii,2009.0,Misc,Ubisoft,Ubisoft Paris,3.48,2.99,0,49.0,8
